word1,word2,similarity_type,relation
blowfly,bluebottle,direct,hyponym
beguiling,alluring,direct,synonym
nonfeasance,dereliction,direct,hypernym
responds,react,direct,synonym
exculpatory,inculpatory,direct,antonym
whirl,gyrate,direct,synonym
jerusalem,jerusalem,direct,synonym
leafed,flick,direct,synonym
paintbrush,brush,direct,hypernym
forced,thrust,direct,synonym
inducing,make,direct,synonym
insured,cinch,direct,hyponym
stoped,stall,direct,hyponym
distrust,doubt,direct,hypernym
mickle,passel,direct,synonym
desertion,abandonment,direct,synonym
paid,make,direct,hypernym
excoriates,excoriate,direct,synonym
laudes,proclaim,direct,synonym
necessity,requisite,direct,synonym
joyously,joyously,direct,synonym
hyponatremia,symptom,direct,hypernym
warming,heating,direct,synonym
scrubland,scrubland,direct,synonym
formulating,devise,direct,synonym
modeled,imitate,direct,hypernym
prostrates,prostrate,direct,synonym
instigation,instigation,direct,synonym
antigen,antigen,direct,synonym
basil,basil,direct,synonym
mesmerised,transfixed,direct,synonym
enthrall,enchant,direct,synonym
encloses,hedge,direct,hyponym
placees,throw,direct,hyponym
quality,nasality,direct,hyponym
rode,cod,direct,synonym
fluxed,move,direct,hypernym
cardigan,corgi,direct,hypernym
liberal,bountiful,direct,synonym
dread,dire,direct,synonym
time,continuum,direct,hyponym
gymnasium,lyceum,direct,synonym
veteran,vet,direct,synonym
fluorine,f,direct,synonym
nonsense,trumpery,direct,synonym
breach,violate,direct,synonym
cesspit,cesspit,direct,synonym
avowed,swear,direct,synonym
developed,age,direct,hyponym
foraying,penetrate,direct,hypernym
credit,finance,direct,hyponym
illusionist,performer,direct,hypernym
paresthesia,symptom,direct,hypernym
cuddling,caressing,direct,synonym
fling,discard,direct,synonym
lay,tee,direct,hyponym
take,transit,direct,hyponym
spoil,baffle,direct,synonym
smell,snuff,direct,hyponym
radiography,photography,direct,hypernym
presentation,counterdemonstration,direct,hyponym
swiped,snarf,direct,synonym
joining,hit,direct,hyponym
bar,marking,direct,hypernym
carbonyl,compound,direct,hypernym
enthralling,captivating,direct,synonym
bars,sandbar,direct,hyponym
awareness,feel,direct,hyponym
infer,deduct,direct,synonym
credential,diploma,direct,hyponym
misdirects,debase,direct,synonym
thickest,dense,direct,synonym
analyzed,study,direct,synonym
village,village,direct,synonym
judgement,finding,direct,hyponym
crescendoing,increase,direct,hypernym
mikvah,bath,direct,hypernym
pass,perish,direct,synonym
whoredom,prostitution,direct,synonym
inequality,difference,direct,hypernym
trifling,wanton,direct,synonym
refined,complicate,direct,synonym
reminds,prompt,direct,synonym
beautified,bead,direct,hyponym
doused,drench,direct,synonym
reexamination,interrogation,direct,hypernym
reckons,consider,direct,synonym
placees,repose,direct,hyponym
disintegrating,integrate,direct,antonym
impounded,garnishee,direct,hyponym
image,ikon,direct,synonym
synchronization,adjustment,direct,hypernym
soul,namer,direct,hyponym
labored,heavy,direct,synonym
twilight,dusk,direct,synonym
recantation,recantation,direct,synonym
pixilated,wicked,direct,synonym
glummest,morose,direct,synonym
moving,fluctuate,direct,hyponym
membership,relationship,direct,hypernym
joker,comedian,direct,hypernym
populist,democrat,direct,synonym
deer,elk,direct,hyponym
quiet,reassure,direct,hyponym
detecting,detecting,direct,synonym
wizard,adept,direct,synonym
catch,apprehension,direct,synonym
jacked,raise,direct,hypernym
accelerator,cyclotron,direct,hyponym
expatiates,elaborate,direct,synonym
unconditional,unconditioned,direct,synonym
networked,communicate,direct,hypernym
disrespecting,disrespect,direct,synonym
bearing,abide,direct,synonym
line,parentage,direct,synonym
ball,lump,direct,synonym
cesium,c,direct,synonym
insensible,unaffected,direct,synonym
wraithlike,shadowy,direct,synonym
caters,gutter,direct,hyponym
doctrinal,doctrinal,direct,synonym
check,train,direct,synonym
hassle,fight,direct,hypernym
perpetuity,perpetuity,direct,synonym
hummer,smoke,direct,synonym
verbalize,utter,direct,synonym
naught,cypher,direct,synonym
colores,decorate,direct,hypernym
chapman,chapman,direct,synonym
defaming,assassinate,direct,hyponym
misbehaving,misbehave,direct,synonym
protracting,extend,direct,synonym
eardrum,eardrum,direct,synonym
takeing,involve,direct,synonym
seales,waterproof,direct,hyponym
cackle,talk,direct,hypernym
balance,part,direct,hypernym
inspires,inhale,direct,synonym
mamma,dug,direct,hyponym
someone,cancer,direct,hyponym
executed,conduct,direct,hyponym
cypher,digit,direct,hypernym
godlessness,theism,direct,antonym
impeller,blade,direct,hypernym
freeholder,freeholder,direct,synonym
induce,bring,direct,hyponym
arch,prankish,direct,synonym
intoxicates,stimulate,direct,hypernym
kick,recoil,direct,synonym
schematic,conventional,direct,synonym
recovered,healed,direct,synonym
drunker,inebriated,direct,synonym
conforming,focus,direct,hyponym
decompress,relax,direct,synonym
submitted,posit,direct,synonym
tippy,tippy,direct,synonym
pastrami,pastrami,direct,synonym
circumvented,parry,direct,synonym
goddamn,goddamned,direct,synonym
overuse,overexploitation,direct,synonym
wildebeest,wildebeest,direct,synonym
vanquishing,immobilize,direct,hyponym
gave,range,direct,hyponym
ameliorate,improve,direct,synonym
pinioned,pinion,direct,synonym
individual,seeder,direct,hyponym
graven,grave,direct,synonym
faith,judaism,direct,hyponym
lessening,dwindling,direct,hyponym
encompass,embrace,direct,synonym
expose,model,direct,hyponym
class,conjugation,direct,hyponym
crosshatched,hatched,direct,synonym
store,hive,direct,hyponym
earlier,other,direct,synonym
operated,manipulate,direct,hypernym
releasees,hold,direct,antonym
acquirer,acquirer,direct,synonym
fall,strike,direct,synonym
weighted,slant,direct,synonym
summarized,sum,direct,synonym
brighten,darken,direct,antonym
poseur,exhibitionist,direct,hypernym
confiscated,attach,direct,synonym
pretended,assumed,direct,synonym
scooting,dash,direct,synonym
dilapidated,derelict,direct,synonym
cock,gamecock,direct,hyponym
softened,macerate,direct,hyponym
commitment,communalism,direct,hyponym
relaxed,stiffen,direct,antonym
salvaging,relieve,direct,synonym
established,constitute,direct,synonym
alloyed,alloy,direct,synonym
prime,quality,direct,synonym
lamming,lam,direct,synonym
jade,devolve,direct,hypernym
belch,burping,direct,synonym
unites,integrate,direct,hypernym
announces,cry,direct,hyponym
attaining,top,direct,hyponym
assaulter,harasser,direct,hyponym
directed,administer,direct,hyponym
strike,sadden,direct,hyponym
bubblier,foamy,direct,synonym
murkier,muddy,direct,synonym
threw,defenestrate,direct,hyponym
switched,back,direct,hyponym
oaken,oaken,direct,synonym
adjusting,pressurize,direct,hyponym
installation,artifact,direct,hypernym
monstrosity,monster,direct,synonym
grudgingly,ungrudgingly,direct,antonym
stimulant,drug,direct,hypernym
sephardi,jew,direct,hypernym
kissing,snog,direct,synonym
construction,building,direct,synonym
fledgeling,entrant,direct,synonym
small,size,direct,hypernym
financier,principal,direct,hyponym
locating,juxtaposition,direct,hyponym
smeared,smear,direct,synonym
trainman,trainman,direct,synonym
damp,break,direct,synonym
returned,deliver,direct,synonym
pitting,mark,direct,synonym
got,sprout,direct,hyponym
tranquilized,quieten,direct,synonym
twin,match,direct,synonym
fool,fathead,direct,hyponym
snowbird,finch,direct,hypernym
workes,throw,direct,hyponym
couch,couch,direct,synonym
pounding,throb,direct,synonym
clobbering,bat,direct,synonym
deterrent,bind,direct,hyponym
cooking,preparation,direct,synonym
laundromat,laundromat,direct,synonym
ruler,stuart,direct,hyponym
scariest,shivery,direct,synonym
frustrating,baffle,direct,synonym
wandered,cheat,direct,synonym
brooklyn,brooklyn,direct,synonym
sodding,everlasting,direct,synonym
berg,berg,direct,synonym
disillusion,disenchantment,direct,synonym
labyrinthine,labyrinthian,direct,synonym
authorization,license,direct,hyponym
christianizing,convert,direct,hypernym
reducing,deflate,direct,hyponym
wish,congratulate,direct,hyponym
releasees,declassify,direct,hyponym
mention,raise,direct,hyponym
electrocutes,electrocute,direct,synonym
assumes,feint,direct,hyponym
game,punt,direct,synonym
rodeo,exhibition,direct,hypernym
ornamented,embroider,direct,hyponym
present,endow,direct,hyponym
dividing,move,direct,hypernym
underwritten,indemnify,direct,hyponym
slew,turn,direct,hypernym
review,retrospect,direct,synonym
excreta,urine,direct,hyponym
debilitation,enfeeblement,direct,synonym
mortal,masturbator,direct,hyponym
panting,breathing,direct,hypernym
hypothesise,expect,direct,hypernym
pyrethrum,herb,direct,hypernym
sounding,ripple,direct,hyponym
meaninglessness,nonsense,direct,synonym
severer,hard,direct,synonym
lived,know,direct,synonym
flight,shoot,direct,hypernym
reasoned,gather,direct,hyponym
manager,manageress,direct,hyponym
variola,smallpox,direct,synonym
charge,rouse,direct,synonym
repaying,requite,direct,synonym
goaltender,position,direct,hypernym
line,policy,direct,hyponym
cheekiest,cheeky,direct,synonym
rounded,assail,direct,synonym
detailing,assign,direct,hypernym
texture,smoothness,direct,hyponym
recuperated,recover,direct,synonym
cistern,tank,direct,hypernym
extols,extol,direct,synonym
burroughs,burroughs,direct,synonym
plowman,plower,direct,synonym
workes,puddle,direct,hyponym
medick,alfalfa,direct,hyponym
circumvented,avoid,direct,hypernym
kitschy,bathetic,direct,synonym
twigged,grok,direct,hypernym
falling,diminish,direct,synonym
retract,pull,direct,hypernym
dawning,morning,direct,synonym
immigrant,immigrant,direct,synonym
smudge,dust,direct,hyponym
ravished,dishonor,direct,synonym
foretells,anticipate,direct,synonym
toiletry,toiletry,direct,synonym
tai,siamese,direct,synonym
crossway,intersection,direct,synonym
berth,womanhood,direct,hyponym
figure,anatomy,direct,synonym
diffuse,sow,direct,hyponym
culmination,apogee,direct,synonym
stem,fore,direct,synonym
directs,usher,direct,hyponym
modeling,scale,direct,hyponym
thiamin,thiamin,direct,synonym
mock,mock,direct,synonym
stabbing,dig,direct,synonym
beautified,braid,direct,hyponym
bilked,dash,direct,hyponym
sitter,stander,direct,antonym
produce,get,direct,synonym
architrave,molding,direct,hypernym
ascent,upheaval,direct,hyponym
dwelling,consist,direct,synonym
winding,snake,direct,hyponym
noncommissioned,commissioned,direct,antonym
manes,hair,direct,hypernym
interlaces,twine,direct,synonym
exhort,cheerlead,direct,hyponym
maneuver,completion,direct,hyponym
scooting,flash,direct,synonym
sealing,pack,direct,hyponym
arching,arched,direct,synonym
hermaphroditism,androgyny,direct,synonym
grimed,slime,direct,hyponym
measured,metrical,direct,synonym
forayed,foray,direct,synonym
imitative,onomatopoeic,direct,synonym
opines,declare,direct,hypernym
attacking,besiege,direct,hyponym
stew,ragout,direct,hyponym
won,get,direct,hypernym
bow,play,direct,hypernym
phenol,solvent,direct,hypernym
paralleled,change,direct,hypernym
uprising,resurge,direct,hyponym
bewitching,entrancing,direct,synonym
prorogue,probate,direct,hyponym
appraising,measure,direct,synonym
dashed,dashed,direct,synonym
thinned,cut,direct,synonym
stiring,arouse,direct,synonym
dispelling,banish,direct,hyponym
cuting,indent,direct,hyponym
relate,tell,direct,hypernym
grazing,shave,direct,hyponym
pore,aperture,direct,hypernym
observation,observation,direct,synonym
yellow,yellowish,direct,synonym
palestinian,arab,direct,hypernym
straitlaced,prissy,direct,synonym
immortalises,immortalize,direct,synonym
about,about,direct,synonym
tripling,treble,direct,synonym
break,bump,direct,synonym
granter,granter,direct,synonym
dovetail,dovetail,direct,synonym
anticipation,projection,direct,hyponym
couching,redact,direct,synonym
peacenik,peacenik,direct,synonym
flummox,beat,direct,synonym
status,comfort,direct,hyponym
filled,sate,direct,synonym
sire,ancestor,direct,hypernym
urinator,person,direct,hypernym
sheer,veer,direct,synonym
magnifier,microscope,direct,hyponym
pelt,seal,direct,hyponym
banter,jolly,direct,synonym
claxon,sound,direct,hypernym
patina,patina,direct,synonym
ghrelin,ghrelin,direct,synonym
invented,invent,direct,synonym
prevailed,exist,direct,hypernym
compounding,compounding,direct,synonym
unstinting,lavish,direct,synonym
wasted,conserve,direct,antonym
gastronome,foodie,direct,synonym
fastening,clasp,direct,hyponym
alter,falsify,direct,synonym
talk,blubber,direct,hyponym
sayes,enunciate,direct,synonym
sadness,depression,direct,hyponym
jugged,gaol,direct,synonym
trounced,chide,direct,synonym
spread,banquet,direct,synonym
ominous,minatory,direct,synonym
grit,moxie,direct,synonym
feeling,devastation,direct,hyponym
hites,attack,direct,hypernym
rolled,gallivant,direct,hyponym
craze,hysteria,direct,synonym
rhythmic,rhythmical,direct,synonym
advance,spur,direct,hyponym
development,blossoming,direct,hyponym
robe,gown,direct,synonym
sizing,sizing,direct,synonym
shoping,antique,direct,hyponym
gotten,draw,direct,synonym
collection,mythology,direct,hyponym
tendered,underbid,direct,hyponym
naivete,simplicity,direct,hyponym
sales,closeout,direct,hyponym
weakening,countermine,direct,synonym
encumbrance,preventive,direct,synonym
cowpoke,cowherd,direct,synonym
hears,catch,direct,hyponym
soft,voiced,direct,synonym
draged,embroil,direct,synonym
system,government,direct,hyponym
derivation,inheritance,direct,hypernym
togging,garb,direct,synonym
drawing,cartoon,direct,hyponym
interdicted,interdict,direct,synonym
tubing,siphon,direct,hyponym
heart,meat,direct,synonym
surpassed,rank,direct,hyponym
exportation,exporting,direct,synonym
pricey,pricy,direct,synonym
swifter,fleet,direct,synonym
mud,mire,direct,synonym
granting,vouchsafe,direct,hyponym
superiority,superiority,direct,synonym
wanning,sicken,direct,hypernym
loades,debase,direct,synonym
renovated,animate,direct,synonym
offspring,bastard,direct,hyponym
lawful,legitimate,direct,synonym
dynamism,doctrine,direct,hypernym
semblance,apparition,direct,hyponym
medico,hakim,direct,hyponym
game,plot,direct,synonym
utility,detergency,direct,hyponym
bailed,remove,direct,hypernym
undertaker,embalmer,direct,hyponym
femininity,femininity,direct,synonym
sweetest,sour,direct,antonym
specialist,doctor,direct,hypernym
heterosexual,homosexual,direct,antonym
jailing,remand,direct,synonym
verbalize,murmur,direct,hyponym
federalize,unify,direct,hypernym
displayed,expose,direct,synonym
takeing,extract,direct,hyponym
disassociates,disunite,direct,synonym
treading,walk,direct,hypernym
alluring,beguiling,direct,synonym
move,diverge,direct,hyponym
while,patch,direct,synonym
swinish,oafish,direct,synonym
satiate,stuff,direct,synonym
european,lombard,direct,hyponym
devalue,depreciate,direct,synonym
control,control,direct,synonym
dying,abort,direct,hyponym
processed,overwork,direct,hyponym
development,cultivation,direct,hyponym
defeated,kill,direct,synonym
spice,pepper,direct,hyponym
monogamist,spouse,direct,hypernym
keratosis,wart,direct,hyponym
triplicate,copy,direct,hypernym
limning,limn,direct,synonym
perfecter,unadulterated,direct,synonym
pip,worst,direct,synonym
blustering,vaunt,direct,synonym
modulation,monotone,direct,hyponym
sopes,sluice,direct,hyponym
shadier,louche,direct,synonym
icy,glacial,direct,synonym
steerer,decoy,direct,synonym
stewing,simmering,direct,synonym
cartilaginous,rubbery,direct,synonym
commits,fund,direct,hyponym
image,envision,direct,synonym
warren,warren,direct,synonym
rough,boisterous,direct,synonym
whooper,whooper,direct,synonym
giving,apply,direct,synonym
vessel,yacht,direct,hyponym
transduced,transduce,direct,synonym
stonewalled,delay,direct,hypernym
genuflecting,bow,direct,hypernym
getting,bewilder,direct,synonym
mola,sunfish,direct,synonym
capturing,hold,direct,hyponym
mill,lumbermill,direct,hyponym
speculating,reconstruct,direct,hyponym
restrainer,suppressor,direct,hyponym
tour,visit,direct,hyponym
curette,curette,direct,synonym
sacking,sacking,direct,synonym
runing,execute,direct,synonym
trait,stinginess,direct,hyponym
ruining,get,direct,hyponym
catch,bag,direct,hyponym
inaccessible,unobtainable,direct,synonym
immersion,ducking,direct,synonym
plaything,top,direct,hyponym
necrosis,gangrene,direct,synonym
carrying,influence,direct,hypernym
certainty,surety,direct,hyponym
cheat,whipsaw,direct,hyponym
mortal,dissenter,direct,hyponym
graveling,peeve,direct,hyponym
saw,catch,direct,synonym
stag,shop,direct,synonym
takeing,excavate,direct,hyponym
mom,mammy,direct,synonym
kick,bitch,direct,synonym
flub,mistake,direct,hypernym
barramundi,barramundi,direct,synonym
reveals,muckrake,direct,hyponym
changing,barter,direct,hyponym
obstacle,hindrance,direct,hypernym
dirtying,splash,direct,hyponym
imperfection,flaw,direct,hyponym
watercolor,painting,direct,hypernym
dunghill,pile,direct,hypernym
elated,dejected,direct,antonym
molded,stamp,direct,hyponym
cowl,cowling,direct,synonym
ornamented,garland,direct,hyponym
help,activity,direct,hypernym
way,tendency,direct,hyponym
strapped,flog,direct,synonym
ruction,rumpus,direct,synonym
manages,care,direct,synonym
entered,book,direct,hyponym
moonlighted,moonlight,direct,synonym
outlaw,outlaw,direct,synonym
staged,rat,direct,synonym
skyrocket,firework,direct,hypernym
ingested,learn,direct,hypernym
sunfish,mola,direct,synonym
sizzle,seethe,direct,hypernym
wiggler,crawler,direct,synonym
communicating,transmit,direct,synonym
jobber,wholesaler,direct,synonym
relative,comparative,direct,synonym
alarmism,warning,direct,hypernym
swiming,drown,direct,synonym
information,news,direct,hyponym
publishes,publish,direct,synonym
monish,discourage,direct,synonym
maneuvered,guide,direct,synonym
occasion,crisis,direct,hyponym
interred,unburied,direct,antonym
charger,courser,direct,synonym
blossom,peak,direct,synonym
circumventing,fudge,direct,synonym
front,forefront,direct,hyponym
countered,counter,direct,synonym
realized,accomplished,direct,synonym
occurred,come,direct,synonym
whapped,sock,direct,synonym
border,adjoin,direct,synonym
disorderliness,clutter,direct,hyponym
travel,staging,direct,hyponym
action,softening,direct,hyponym
hew,strike,direct,hypernym
separating,split,direct,synonym
coping,cop,direct,synonym
address,align,direct,hypernym
saddling,overburden,direct,hyponym
impressed,instill,direct,synonym
disapproves,approve,direct,antonym
shout,bellow,direct,hyponym
ranging,roll,direct,synonym
penning,drafting,direct,hyponym
aviator,aviator,direct,synonym
idler,idle,direct,synonym
bad,defective,direct,synonym
torner,lacerated,direct,synonym
perimeter,perimeter,direct,synonym
term,terminus,direct,synonym
compounding,add,direct,hypernym
representative,delegate,direct,hyponym
shriek,pipe,direct,synonym
unsnarling,snarl,direct,antonym
wolfhound,wolfhound,direct,synonym
equipped,fin,direct,hyponym
commiserating,sympathize,direct,synonym
attainted,foul,direct,hyponym
toxicity,perniciousness,direct,synonym
scattering,sprinkle,direct,synonym
lied,romance,direct,hyponym
byzantine,knotty,direct,synonym
fortified,fort,direct,synonym
seaman,helmsman,direct,hyponym
transcribes,transcribe,direct,synonym
snort,raspberry,direct,synonym
praiseworthy,praiseworthy,direct,synonym
balance,account,direct,hypernym
brute,animal,direct,synonym
analyzes,analyze,direct,synonym
enchant,enamor,direct,synonym
background,scope,direct,synonym
stampeded,act,direct,hypernym
opus,adagio,direct,hyponym
strap,trounce,direct,synonym
systemised,systematize,direct,synonym
grief,grief,direct,synonym
acquitting,fluster,direct,hyponym
crossfire,conversation,direct,hypernym
foul,wicked,direct,synonym
lasciviousness,lubricity,direct,synonym
sexpot,sexpot,direct,synonym
memorialized,remind,direct,hypernym
fall,spat,direct,hyponym
tallied,sum,direct,synonym
issue,response,direct,hyponym
stratum,peasantry,direct,hyponym
range,carry,direct,hyponym
submarine,operate,direct,hypernym
portends,prognosticate,direct,synonym
crate,crate,direct,synonym
tranced,work,direct,hyponym
pined,die,direct,hyponym
rusticated,banish,direct,hypernym
recreating,encourage,direct,hypernym
thrusted,compel,direct,hypernym
touched,perceive,direct,hypernym
twisting,bend,direct,synonym
communed,pray,direct,hyponym
tempered,normalize,direct,synonym
assigns,dedicate,direct,hyponym
realm,land,direct,synonym
sector,aspect,direct,hypernym
fuzz,beard,direct,hypernym
skateboarding,skateboard,direct,synonym
changing,string,direct,hyponym
turd,dirt,direct,synonym
acceded,bow,direct,synonym
bowled,hurl,direct,hypernym
reorganizing,organize,direct,hypernym
teleost,pipefish,direct,hyponym
drooped,slump,direct,hyponym
despoiled,rape,direct,synonym
playgoer,groundling,direct,hyponym
ligament,binder,direct,hyponym
excrete,sweat,direct,hyponym
mediocrity,averageness,direct,synonym
thresh,toss,direct,synonym
relapsing,reversion,direct,synonym
shrunk,move,direct,hypernym
approximation,approximation,direct,synonym
battler,belligerent,direct,synonym
convert,malt,direct,hyponym
set,dibble,direct,hyponym
retrieve,recognize,direct,hyponym
assemble,convene,direct,hyponym
sweet,mousse,direct,hyponym
posy,bouquet,direct,synonym
loan,borrow,direct,antonym
checkbook,record,direct,hypernym
cake,dish,direct,hypernym
semitropic,subtropical,direct,synonym
vapourised,volatilized,direct,synonym
jaunt,expedition,direct,synonym
gloated,boast,direct,hypernym
condoling,condole,direct,synonym
mold,dispose,direct,hyponym
attention,faculty,direct,hypernym
notch,location,direct,hypernym
go,roll,direct,hyponym
plaza,mall,direct,synonym
housed,accommodate,direct,hypernym
arming,arming,direct,synonym
generalizing,talk,direct,hypernym
flushing,discolor,direct,hypernym
spoil,prevent,direct,hypernym
maid,maiden,direct,synonym
kindled,prick,direct,hyponym
take,mislead,direct,hyponym
soft,lenient,direct,synonym
healed,help,direct,hypernym
muscatel,muscatel,direct,synonym
exec,exec,direct,synonym
shote,piggy,direct,synonym
tartar,salt,direct,hypernym
penetration,infiltration,direct,hyponym
scent,groom,direct,hypernym
gather,cumulate,direct,synonym
eloped,flee,direct,hypernym
requester,postulant,direct,hyponym
underwrites,guarantee,direct,hypernym
fringe,boundary,direct,hypernym
inundation,batch,direct,hypernym
ingathering,collection,direct,synonym
spurting,spurt,direct,synonym
reexamination,review,direct,synonym
cuddling,embrace,direct,hypernym
omission,ellipsis,direct,hyponym
sanctified,purge,direct,synonym
quicken,speed,direct,synonym
assent,assent,direct,synonym
proclaimed,announced,direct,synonym
legerdemain,trick,direct,synonym
plate,illustration,direct,hypernym
conspiracy,set,direct,hypernym
lead,conduce,direct,synonym
receives,receive,direct,synonym
flipped,move,direct,hypernym
observing,disrespect,direct,antonym
squint,strabismus,direct,synonym
separate,group,direct,hyponym
sentimentalizing,change,direct,hypernym
openness,willingness,direct,hypernym
obfuscation,obfuscation,direct,synonym
pulsate,beat,direct,synonym
reconfirming,reconfirm,direct,synonym
jigger,pony,direct,synonym
rip,attack,direct,hypernym
cleaned,remove,direct,hypernym
puffed,swell,direct,hypernym
slimiest,slimed,direct,synonym
nuttiest,loony,direct,synonym
order,orderliness,direct,synonym
foil,picture,direct,hypernym
libellous,slanderous,direct,synonym
book,scripture,direct,synonym
sextuplet,sise,direct,synonym
crag,crag,direct,synonym
border,march,direct,synonym
vitalized,strengthen,direct,hypernym
drew,winch,direct,hyponym
search,investigate,direct,hypernym
unintentionally,deliberately,direct,antonym
repelled,stimulate,direct,hypernym
stimulant,evocation,direct,hyponym
blanching,cook,direct,hypernym
enthralled,delighted,direct,synonym
reducing,substitute,direct,hypernym
stiff,potent,direct,synonym
flutter,flitter,direct,synonym
bopped,bonk,direct,synonym
gabble,talk,direct,hypernym
grubbiness,dirtiness,direct,hypernym
inflorescence,growth,direct,hypernym
parallel,match,direct,hypernym
ginned,trap,direct,hypernym
goed,trump,direct,hyponym
unreliable,reliable,direct,antonym
tiring,pall,direct,synonym
devise,organize,direct,synonym
countervailing,offset,direct,synonym
specified,dedicate,direct,hyponym
throbbing,throbbing,direct,synonym
effuses,pour,direct,hypernym
makeing,dung,direct,hyponym
sound,go,direct,synonym
alabaster,white,direct,hypernym
jujutsu,jujitsu,direct,synonym
zygomatic,malar,direct,synonym
outlay,expending,direct,hyponym
ketch,ketch,direct,synonym
poising,balance,direct,synonym
brunch,meal,direct,hypernym
guiding,sheer,direct,hyponym
groundwork,groundwork,direct,synonym
thaw,warming,direct,synonym
sneaking,nobble,direct,synonym
effected,induce,direct,hyponym
spoilt,flub,direct,synonym
thrash,clobber,direct,synonym
choked,die,direct,synonym
trainee,trainee,direct,synonym
haved,imply,direct,hyponym
arise,bubble,direct,hyponym
evaluate,declare,direct,hyponym
ensures,card,direct,hyponym
quit,cheese,direct,hyponym
despatching,despatch,direct,synonym
fold,plication,direct,synonym
dominated,reign,direct,synonym
resiling,bound,direct,synonym
bawdiest,bawdy,direct,synonym
lending,disposal,direct,hypernym
parrot,macaw,direct,hyponym
setting,zero,direct,hyponym
vanquish,cream,direct,hyponym
beated,play,direct,hypernym
wintery,wintery,direct,synonym
pressurizes,change,direct,hypernym
introducing,foist,direct,hyponym
submerged,subaquatic,direct,synonym
ardor,love,direct,hypernym
meeting,concourse,direct,hyponym
cuss,gent,direct,synonym
disregard,slight,direct,hyponym
view,orientation,direct,hypernym
shrinked,move,direct,hypernym
awaken,affect,direct,hypernym
integrates,unify,direct,hyponym
rap,belt,direct,synonym
impounded,take,direct,hypernym
blowpipe,tube,direct,hypernym
bicker,quarrel,direct,hypernym
keelson,beam,direct,hypernym
adverted,allude,direct,synonym
deprives,divest,direct,synonym
dominance,ascendancy,direct,synonym
underperforming,underachieve,direct,synonym
artist,etcher,direct,hyponym
sub,bomber,direct,synonym
uttering,generalize,direct,hyponym
synchronized,synchronized,direct,synonym
map,representation,direct,hypernym
taken,plump,direct,hyponym
aerie,habitation,direct,hypernym
bearing,mien,direct,synonym
status,decline,direct,hyponym
hinder,handicap,direct,synonym
animate,sentient,direct,synonym
disregard,scoff,direct,hyponym
getting,incur,direct,synonym
regurgitating,repeat,direct,hypernym
encouraged,feed,direct,hyponym
meekness,spinelessness,direct,hyponym
recompense,allowance,direct,hyponym
harpy,vixen,direct,synonym
contain,include,direct,hypernym
authenticate,prove,direct,hyponym
develop,acquire,direct,synonym
preteen,preteen,direct,synonym
costes,cost,direct,synonym
scintillated,twinkle,direct,synonym
rendering,subtitle,direct,hyponym
demilitarize,neutralize,direct,hyponym
nuttiest,kookie,direct,synonym
pronouncing,say,direct,synonym
ravishes,enrapture,direct,synonym
weigela,shrub,direct,hypernym
placing,subordinate,direct,hyponym
repaired,revive,direct,synonym
extrapolates,calculate,direct,hypernym
abstinence,fast,direct,hyponym
palas,dhak,direct,synonym
flirt,butterfly,direct,synonym
reddening,flush,direct,synonym
foundation,cornerstone,direct,synonym
luge,luge,direct,synonym
visit,see,direct,synonym
sayed,pronounce,direct,synonym
bray,bray,direct,synonym
green,unripe,direct,synonym
merging,confluence,direct,synonym
gerrymandered,gerrymander,direct,synonym
gone,travel,direct,synonym
emitting,tsk,direct,hyponym
revealing,expose,direct,synonym
changing,spot,direct,hyponym
attenuate,weakened,direct,synonym
thermosetting,thermoset,direct,synonym
boodle,boodle,direct,synonym
found,situate,direct,hyponym
mader,sick,direct,synonym
ran,move,direct,synonym
peppering,pelt,direct,synonym
demesne,land,direct,synonym
outrunning,run,direct,hypernym
dude,sheik,direct,synonym
incensed,outraged,direct,synonym
gaged,gag,direct,synonym
dreamed,dream,direct,synonym
leafed,leaved,direct,synonym
flower,wallflower,direct,hyponym
bookmaker,bookmaker,direct,synonym
spilt,run,direct,hypernym
artistic,artistic,direct,synonym
irrefutable,incontrovertible,direct,synonym
thirteenth,thirteenth,direct,synonym
punter,boatman,direct,hypernym
surge,run,direct,hypernym
oporto,porto,direct,synonym
recanted,abjure,direct,synonym
plate,horseshoe,direct,hyponym
prattle,babble,direct,hyponym
female,filly,direct,hyponym
balmiest,loony,direct,synonym
sharper,astute,direct,synonym
showering,rain,direct,hypernym
verbalizes,say,direct,hyponym
reassured,calm,direct,hypernym
strong,stiff,direct,synonym
exhorting,barrack,direct,synonym
rebooted,resuscitate,direct,hypernym
collapse,weaken,direct,hypernym
gather,snail,direct,hyponym
escort,date,direct,synonym
breaked,break,direct,synonym
scratch,expunge,direct,synonym
rehearing,rehearing,direct,synonym
sloped,move,direct,hypernym
taking,pocket,direct,hyponym
streambed,wash,direct,hyponym
release,unfreeze,direct,synonym
justly,justly,direct,synonym
solid,cast,direct,hyponym
channelizing,maneuver,direct,synonym
gushed,pour,direct,hypernym
decided,end,direct,hypernym
amalgamated,concoct,direct,hyponym
acceded,submit,direct,synonym
played,snooker,direct,hyponym
drink,gulp,direct,hyponym
prejudiced,bias,direct,hyponym
exudes,express,direct,hypernym
smelliest,noisome,direct,synonym
billed,undercharge,direct,hyponym
scarcity,scarceness,direct,synonym
betraying,shit,direct,synonym
expose,moon,direct,hyponym
